input,output
diwali ki shopping ho gayi?,"abhi nahi, kal shaam ko jaana hai market."
holi ka mood aa gaya hai na?,"haan, abhi se colour khelne ka mann kar raha hai!"
raksha bandhan pe kya gift deni hai?,bhai ko koi ache se bracelet deni hai.
ganesh chaturthi ka mandap ban gaya?,abhi to bahan aur mujhe milkar saaf safai karni hai.
eid ki tayari ho gayi?,"haan, sab khana banaa ke rakha hai."
kya aap lohri ki party mein aa rahi hai?,"haan, jarur aaungi."
navratri ke dandiya ka kya plan hai?,"pyaar se practice kar rahi hoon, phir aapke saath naachna hai."
dusshera ki chuttiyaan kaise kaat rahe ho?,family ke saath ghumne jaana hai.
diwali ki safai kar li hai?,"haan, abhi diyas sajaungi."
holi me kya colour lagaogi?,"har colour lagaongi, sabse khushi aati hai!"
raksha bandhan pe bhai ko kya gift diya?,ek cute si rakhi aur pyaar se khana diya.
ganesh chaturthi ka laddu khaya?,"haan, bahut tasty hai."
eid ka chand dekha?,"haan, aur sabhi se mil ke khushiyaan maanaayi."
lohri ki fire crackers kisi ne jalaaye?,"haan, aur makaan par kheer khaya."
navratri ke nine days kaise gaye?,"mast gaye, dandiya mein bahut majaa aaya."
dusshera mein ravan dahaan dekha?,"haan, aur mausi ki jagah par chai pee."
diwali me kya khana banaogi?,aaloo tikki aur gulab jamun banayengi.
holi mein kya rang lagaegi?,"bura na maano, gulaal bhi lagaayengi aur abir bhi."
raksha bandhan pe bhai se kya gift mangi?,"kuchh nahi mangi, bas pyaar aur khushiyan chahiye."
ganesh chaturthi mein modak khaya?,"haan, aur modak ka prasad bhi laayi."
eid me kya khana khaogi?,biryani aur sweet khane ka mann hai.
lohri ki celebration ki details batao?,ghar pe fire crackers aur makkhan khane ka plan hai.
navratri ke dance ko kaise practice kar rahi hai?,"ghar mein hi practice kar rahi hoon, bahut difficult dance hai."
dusshera ki chuttiyon ka program batao?,"maa ke saath ghumne jaana hai, mazaa aayega."
diwali ki decorations ki photo dikhao!,"abhi nahi, raat mein lights jalane pe dikhaoongi."
holi ka color wala kapda kyun pehna hai?,"abhi aap bhi laga do, phir mazaa aayega!"
raksha bandhan pe bhai kaise react kiya?,"bahut khush hua, meri rakhi pasand aayi."
ganesh chaturthi ka prasad kya aaya?,"modak, ladoos, aur phal prasad."
eid ka salwar suit dikhao!,"haan, phir aa kar dikhaoongi."
lohri ki makkhan khane ki photo laao!,"bura na maano, makkhan to mazaa aaya, photo nahi laayi."
navratri ke nine days mein kya khas khana khaaya?,"besan ki barfi aur kachori, delicious!"
dusshera ka ravan dahaan kitna bhayanak tha?,"itna bhi nahi, lekin phir bhi mazaa aaya."
diwali ki lights dekhi?,"haan, bahut khoobsurat lagi, har jagah lights hain."
holi mein kya colour laga?,"har color laga, ekdum khush hue."
raksha bandhan pe kya gift diya?,bhai ko ek ache se bracelet diya.
"bhai,woh new phone toh aa gaya?","haan yaar, online se order kiya hai, delivery kal tak aa jaani chahiye!"
"oye,kya online shopping kar rahi thi?","haan, ek cute dress dekh li, abhi order kar diya!"
"haan,woh kurti toh aayi na, kaisi lagi?","bhai, bekar lag rahi hai! return karni padegi!"
aapke kaam ki koi online website hai?,"haan yaar, amazon par hi sab milta hai, bohot easy hai use karna."
koi bhi product return kar rahi ho kya?,"haan, yeh lipstick nahi pasand aayi, bohot cheap quality lag rahi hai!"
kya aapke new headphones aaye?,"haan, kal aaye! sounds bohot awesome hain, aaj to saare din music sunti rahi!"
"bhai,kya online shopping kar rahi thi?","haan yaar, ek new laptop dekh li, kafi aacha deal lag raha hai!"
ab aise saare kapde toh nahi aayenge?,"nahi yaar, woh site par picture mein achche lagte the, alag se aaye!"
online shopping mein aise toh hota rehta hai!,"haan yaar, lekin ye bohot disappointment hai!"
koi sasta phone search kar rahi thi kya?,"haan yaar, phone thoda outdated ho gaya hai, new phone dhund rahi hu!"
kya aapko woh shoe size mein problem hui?,"haan yaar, abhi refund maangna padega!"
aapne kya order kiya tha?,"kuch bhi nahi, online shopping nahi karti hu mai!"
koi website dekh rahi thi?,"haan yaar, ek website thi, saare home decor items the!"
"wo kaise kar rahi ho,order kaise place karti ho?","bhai, aapko to pata hi hai, bohot aasan hai! kaise karti hoon, dekha to!"
online shopping kaafi convenient hota hai na?,"haan yaar, lekin sometimes yeh saare return process bahut irritating ho jaate hain!"
koi online store aapko recommended karna hai?,"haan yaar, flipkart kaafi achcha hai, saare options milte hain!"
kya aapne kya order kiya tha?,"haan yaar, ek new blender dekh liya, bohot aacha discount tha!"
online shopping mein kaise discount milta hai?,"kuch coupons aate hain na, aur credit card discounts!"
"bhai,kaun sa site pe shopping kar rahi thi?","yaar, ek website hai, bohot ache outfits aate hain uspe!"
kuch khane ke liye order kar rahi thi?,"haan yaar, zomato se pizza order kiya tha, bohot yummy tha!"
online shopping mein thodi patience rakhiye!,"haan yaar, jab tak shipment aaye, dil beet jaata hai!"
aapko shopping kaafi pasand hai na?,"haan yaar, par online shopping karke bored ho gayi hu! shoppe jaane ka mann kar raha hai!"
koi discount mil raha hai kya?,"haan yaar, sale aa gayi hai! toh maine few things order kar diye!"
kya yeh sab products asli hain?,"haan yaar, amazon se order kiya hai, original products hi aate hain!"
woh phone ki review kya thi?,"bhai, bohot badhiya! maine bhi order kar diya!"
kaun si company ka phone aaya hai?,"yaar, apple ka new model! bohot aacha hai!"
"kya,kya order kar rahe ho?","kuch nahi yaar, online shopping mein ab nahi interest!"
"woh new book aa gayi hai,kaha se order kare?","haan, flipkart par aa gayi hai! order kar do!"
online shopping se sasta bhi to padta hai na?,"haan yaar, market se to zyada hi sasta padta hai!"
kya aap online shopping se satisfied ho?,"yaar, sometimes products asli nahi hote hain! aise mein bohot irritation hoti hai!"
aapko online shopping karne ka kya experience raha?,"bohot acha yaar, saare items aasan se mil jaate hain!"
"aree,party kahan karenge?","koi ac wala place dhoondho, yeh garmi mein bahar rahana impossible hai."
"acha,tum kya laa rahi ho?","wo toh mai bataongi na, aise toh surprise hi kharab ho jaayega!"
"koi theek hai,sab aa rahe hain?","haan, confirm ho gaya, sab ke sab ready hain."
theme kya rakhein?,"aise kuchh simple hi rakhte hain, boho toh kharcha aayega."
mujhe lagta hai food ka order karlena chahiye.,"haan, yaar, apne haath se banana kaam hai."
"kya chaiye,pizza, burger, pasta?","aree, sabka favourite hai na, biryani! apne khaoge?"
mujhe to khaane se jyada music ka tension hai.,"koi dj hi bulaya jaaye, kya?"
"tum dekho na dj wala kaam,mai dekhoongi decorations.","theek hai, mai karti hu."
"aree,decorations ka toh plan hai?","bas yaar, kaali curtains laaga denge, aur light hi light."
kuchh special karne ki toh koi soch nahi hai?,"ho jaayega, sabko bulaa liya na, bas yaar."
"kuchh games bhi rakhte hain,yaar.","haan, haan, kabhi baad mein sochenge."
"aree,time kya hai?","630 pm se start, 10 pm tak."
kya pehenu?,"aree, kisi bhi comfortable dress me aa jaana, boho dressing ka pressure mat le."
kuchh extra stuff toh chahiye na?,"chill, mai handle kar lungi, aaram se aa jaana."
kya music playlist bana rahi ho?,"bas, bollywood ke hit songs, khud bana rahi hu."
kuchh naachna gaana bhi karenge kya?,"haan, baad mein, khana khane ke baad."
"sharam na kar,aa ke naach na!","haan, haan, mai bhi toh naachti hu!"
"dekho,ladke kabhi nahi bolenge, tumhari friends se puchh lo.","aree, ye toh sahi hai."
decorations me kaali curtains kyu?,"bas yaar, ye toh common hai, trend hai."
"theek hai,teri marzi, lekin kuchh creative karne ki koshish toh kar sakte hain.","yaar, time nahi hai."
"aree,food toh aap sab khud laa rahe hain, kya?","haan, kuchh light snacks le aana."
"kuchh extra drinks le aana,yeh baat mat bhoolna.","haan, haan, mat daro, sab manage ho jaayega."
mujhe thoda late ho sakta hai.,"koi baat nahi, aram se aa jaana, no pressure."
"haan,aisa hi lag raha tha, kya? party kyun kar rahi ho?","aree, birthday nahi hai, बस friends ke saath time spend karna hai."
"kya bol rahi ho,bas time pass?","aisa nahi hai, par birthday nahi hai, thodi si khushiyaan celebrate karna hai."
"aree,time pass hi toh khushiyaan celebrate karna hai.","aree, jaise bhi bolo yaar."
mujhe to bohot excited hu!,"haan, mai bhi!"
"aree,kya pehen ke jau?","aree, jaise bhi comfortable ho, aa jaana."
kuchh surprise bhi dena hai kya?,"haan, party me, jaisa tumhen surprise dene ka mood ho."
"achcha,to mai bhi kuchh surprise leke aati hu.","haan, yaar, maza aayega."
"aree,ghar pe aana aane walon ko?","haan, ghar pe toh aana hi padega."
kuchh party songs bhi download karlo na.,"haan, yaar, karenge."
kya party ke liye dress code rakha hai?,"aree, koi dress code nahi, bas comfortable clothes."
party me kya khane ko milega?,"snacks aur drinks, aur thoda sa food bhi."
kitne log aa rahe hain?,ko
"arre,tera new phone kaisa hai?","bahut mast hai yaar, camera toh killer hai!"
"yaar,battery life thodi kam hai na?","haan, thoda issue hai but overall acha hai!"
laptop kharab ho gaya kya?,"haan yaar, koi virus aa gaya tha, format karwana pada"
new phone kisi din dikhao na?,"sure, aaj hi aa jao yaar!"
koi aisa app batao jisse photos edit karna aasan ho?,"snapseed try karo yaar, bahut badhiya app hai!"
meri earphones ki sound quality bahut kharab ho gayi hai!,"new ones le lo na, aaj kal bohot aache aache earphones aate hain"
wifi password kya hai?,"haan yaar, dekh lo yaar"
netflix pe kya dekh rahi thi?,"koi web series, naam toh yaad nahi"
new phone ka charging adapter toh alag hai na?,"haan yaar, type-c wala hai, old wala kaam nahi karega"
meri battery bohot jaldi kharab ho jati hai yaar?,"setting check kar lo yaar, battery saving mode dalo"
tera phone mein kitne gb ram hai?,"8gb, kam padta nahi hai"
"mere phone mein space kam ho gaya hai yaar,kaise manage karu?","photos backup karo, cloud pe"
online shopping karti ho kya?,"haan yaar, flipkart se"
bluetooth earphones kaisa hai tera?,"bass boosted wala, bohot aacha hai"
mobile data plan kaunsa use karti ho?,"jio wala, bohot acha hai"
"tera phone kaise hai yaar,kharaab to nahi hai?","theek hai, chal raha hai"
"mere phone mein notifications bohot aate hain yaar,kaise band karu?","settings mein jaake, manage karo notifications"
"smartphone kya leti ho,apple ya android?","android, apple mujhe thoda pricey lagta hai"
mere phone ka display bohot dim ho gaya hai yaar,setting mein brightness badha lo yaar
"yaar,phone ke speakers bohot kam aawaz karte hain!","speaker khuli ho na, check kar lo yaar"
laptop ka battery life kitna hai?,around 6-7 hours
tablet leti ho kya?,"nahi yaar, laptop hi kaafi hai"
smartwatch use karti ho?,"haan, fitbit wala"
tera phone ka screen protector kaisa hai?,"tempered glass, bohot acha hai"
new phone kya liya?,samsung galaxy s23
koi aisa app batao jisse voice notes bana sako?,google voice notes try karo
camera kharab ho gaya hai kya?,"haan yaar, lens pe scratch aa gaya"
tera charger kharab ho gaya kya?,"haan, abhi new order kiya hai"
online shopping kaise karti ho?,"phone se hi, easy hai"
laptop ke लिए कोई suggestion है?,"asus ya lenovo, acha hai"
tera phone mein biometrics lock hai kya?,"haan, fingerprint lock"
internet connection thodi slow hai na?,"haan, wifi issue hai"
koi aisa app batao jisse music download kar sako?,spotify use karo
phone ke background ka wallpaper kaisa hai?,"blue sky ka, bahut calming hai"
tera laptop का color kaisa hai?,"grey color ka, stylish lagta hai"
laptop में games खेलती हो?,"haan, casual games"
internet speed kitni hai?,"50 mbps, dekh lo"
tera new phone mein dual sim slots hain?,"haan, ek sim for work, ek personal"
laptop का mouse kaise hai?,"wireless mouse, bohot convenient hai"
phone में call quality ठीक है ना?,"haan yaar, no issues"
phone का front camera how is it?,"good, clear pics aati hain"
tera phone में virtual assistant है kya?,"haan, google assistant"
"kya hua,itni sad lagi hui?","haan yaar, itna stress hai, kuch samajh nahi aa raha."
kuch tension ho raha hai kya?,"nahi yaar, bas, aaj ka mood hi kuch alag hai."
aaj kaise lag raha hai?,"okay okay, kuch acha nahi, kuch acha nahi."
sab thik toh hai na?,"haan, par ek ghanta me 3 meeting hai, dimaag kharab ho raha hai."
kya plan hai aaj?,"bas, ghar pe hi reh kar, kuch relaxing music sunungi."
feeling low today?,"yaar, thodi si, bas aisa lag raha hai ki kuch nahi kar sakti."
kya baat hai?,"bas, aaj motivation kam hai, kaam nahi kar pa rahi."
koi problem hai kya?,"nahi, bas thodi tension hai, jaldi solve karne ka pressure hai."
kya ho raha hai?,"aaj kuch bhi nahi karna hai, bas phone dekh rahi hoon, bored hu."
aap thik to ho?,"haan, abhi thoda stress hai, kaam ka bahut pressure hai."
kya tension hai?,"bas, ek important meeting hai, nervousness ho rahi hai."
everything okay?,"haan, but aaj bohot nervous feeling aarahi hai."
"kya hua,itna stress ka?","kuch nahi, bas, zindagi ka hi ek phase hai, aaj thoda tough lag raha hai."
kaise ho?,"okay, bas, aaj thoda emotional feeling aa rahi hai."
kya chal raha hai?,"kuch nahi, bas aaj ka mood hi kuch aisa hai, bad mood."
kya baat hai?,"haan, thoda mental peace chahiye, aisa lag raha hai ki sab ghoom raha hai."
kaise ho?,"abhi theek hu, par aaj kuch kuch negativity feel kar rahi hu."
kuch problem hai?,"nahi, bas aaj motivation nahi hai, kuch karne ka mann nahi hai."
feeling down?,"haan yaar, kuch to issue hai, bas express nahi kar pa rahi."
kaise ho?,"haan, aaj thoda nervous feeling aarahi hai, par kya karein."
kya plan hai aaj?,"bas, thoda relaxing music sunungi aur ghar pe rest karungi."
everything okay?,"haan, bas, aaj ka mood thoda off hai."
kuch stress hai?,"nahi, par ek pressure hai ki bahut kuch karna hai."
kya tension hai?,"aaj thoda negativity feel kar rahi hu, par kuch nahi kar sakti."
kaise ho?,"bas, aaj thoda anxiety hai, kuch aur nahi."
kya baat hai?,"haan, aaj thoda ghanta ho raha hai, kuch nahi samajh aaraha."
kuch problem hai kya?,"nahi, bas thoda stress hai, par kaam karna padta hai."
feeling low?,"haan, bas aaj thoda demotivated feeling aarahi hai."
kya chal raha hai?,"bas, aaj thoda ghanta ho raha hai, kaam karne ka mann nahi kar raha."
kaise ho?,"okay, par thoda thoda negativity feel ho rahi hai."
everything okay?,"haan, par aaj thoda tension hai, par manage kar luongi."
kuch stress hai?,"haan, bas aaj ka mood hi kuch aisa hai, bad mood."
kya baat hai?,"bas, aaj thoda emotional ho rahi hu, par kuch nahi kar sakti."
kya plan hai aaj?,"bas, ghar pe rehti hu aur kuch relax karti hu."
kaise ho?,"haan, aaj thoda pressure hai, kaam bahut hai."
feeling low?,"yaar, aaj kuch karne ka mann nahi kar raha."
kuch problem hai kya?,"nahi, bas aaj ka mood hi kuch aisa hai."
everything okay?,"haan, bas aaj thoda ghanta ho raha hai."
"kya hua,itna stress ka?","kuch nahi, bas aaj ka mood hi kuch aisa hai."
kaise ho?,"okay okay, par thoda tension ha"
"abey,tumne woh breaking news dekha?","haan yaar, kyun?"
kya kar rahi ho aaj?,"kuch nahin yaar, bas netflix dekh rahi hoon."
"sun,kaun jeet gaya?","woh to abhi nahi pata, result aane wala hai."
aaj kya khaane ka plan hai?,aaj toh bas ghar pe khana banaungi.
kaise ho tum?,"chalo, theek hu, aap batao?"
kya bol rahe ho?,"arre, woh news mein dekha tha na."
tumne woh article padha?,"haan yaar, bohot interesting tha."
koi news toh aayi nahin aaj?,"aaj toh kuch khass nahi, bas daily updates hi."
kya samajh rahi ho tum?,"kuch nahin yaar, bas soch rahi hoon."
kya ho gaya tumhe?,"kya hota hai yaar, news dekh kar tension ho rahi hai."
kaunsi news dekh rahi ho?,woh latest world news dekh rahi hoon.
kya baat hai?,"haan, aaj kuch khass aaya hai news mein."
kya bol rahi ho?,"are, woh news dekh kar bohot khushi ho rahi hai."
kya dekh rahi ho?,"kuch nahin yaar, bas tv pe news dekh rahi hoon."
kya sunaya jaa raha hai?,"kuch nahin yaar, bas usual news hi."
tumne news dekha?,"haan yaar, abhi abhi dekha hai."
aaj kya ho raha hai?,"aaj toh kuch khass nahi, bas usual news hi."
tumne woh news article padha?,"haan yaar, bohot interesting tha."
kya ho raha hai?,"kuch nahin yaar, bas news dekh rahi hoon."
kya sun rahi ho?,woh new political news dekh rahi hoon.
